1_24,1_16,1_9,1_28,3_2,4_5,1_14,1_5,1_3,1_1,1_27,3_20,3_15,3_8,3_9,1_17,1_2,3_1,1_4,6_1,4_1,1_10,1_11,3_7,3_13,1_18,1_19,3_3,1_15,1_6,1_7,1_13,1_8,1_12,1_23,3_6,3_23,3_19
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,5,1,12,0,0,0,0,0,3,8,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,4,23,0,0,0,0,0,1,2,0,0,0,0,0,11,0,0,2,0,0,0,11,0,0,0,0,1,0,0,0
0,0,0,0,14,0,0,0,15,0,7,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,16,0,0
0,0,1,0,0,0,0,1,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,1,29,0,0,0,0,0,0,1,0,0,0,0,2,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,13,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,1,4,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,8,6,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
0,4,0,0,0,0,3,5,18,8,0,0,0,0,0,27,4,0,0,0,0,13,1,0,0,0,0,0,0,22,0,0,0,9,1,0,0,0
0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,1,0,5,0,0,0
0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,2,0,0,2,0,0,0,4,4,0,0,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,12,3,2,0,0,0,0,0,28,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,8,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0,0,0
0,0,0,0,0,0,13,2,14,13,0,0,0,0,0,4,7,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,2,0,0,1,0,0,0
0,0,1,0,0,0,0,0,55,12,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,26,0,6,1,0,1,0,0,0
0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,36,41,11,0,0,1,0,6,52,1,3,0,0,4,20,0,0,0,0,0,0,4,0,1,4,4,14,0,0,0
0,0,0,0,0,0,0,1,41,23,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,23,17,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,25,0,1,0,10,0,0,0,0
