user_id,item_id,cate_id,action_type,action_time
11482147,492681,1_11,view,1487174400
12070750,457406,1_14,deep_view,1487174400
12431632,527476,1_1,view,1487174400
13397746,531771,1_6,deep_view,1487174400
13794253,510089,1_27,deep_view,1487174400
14378544,535335,1_6,deep_view,1487174400
1705634,535202,1_10,view,1487174400
6943823,478183,1_3,deep_view,1487174400
5902475,524378,1_6,view,1487174401
12646404,529724,1_3,view,1487174402
13156768,426867,1_17,view,1487174402
14367772,484321,1_3,view,1487174402
15967218,468533,1_3,deep_view,1487174402
7500423,531150,1_9,deep_view,1487174402
11227572,522855,1_17,deep_view,1487174403
12431632,534450,1_1,deep_view,1487174403
12799141,531289,1_1,view,1487174403
14380477,535477,1_1,deep_view,1487174403
15894951,491934,1_23,view,1487174403
15905528,432274,1_2,deep_view,1487174403
1904514,530486,1_13,view,1487174403
2415271,535363,1_6,view,1487174403
2472319,535334,1_23,view,1487174403
6088961,533833,1_1,deep_view,1487174403
8350505,527149,1_6,deep_view,1487174403
11996914,530796,1_14,view,1487174404
14378544,515907,1_6,view,1487174404
16401821,535084,1_23,deep_view,1487174404
7908369,503571,1_23,view,1487174404
8462794,500412,1_12,deep_view,1487174404
12097109,535410,1_6,deep_view,1487174405
13940093,531164,1_23,deep_view,1487174405
16823916,535429,1_3,deep_view,1487174405
6013645,535604,1_1,view,1487174405
11352404,533311,1_6,deep_view,1487174406
11989672,535382,1_6,deep_view,1487174406
12340003,535367,1_6,deep_view,1487174406
13682156,422703,3_2,deep_view,1487174406
13845881,465640,1_3,view,1487174406
13928218,492592,1_3,deep_view,1487174406
14734294,526190,1_3,comment,1487174406
11392771,470755,1_2,view,1487174407
12298949,526484,1_1,view,1487174407
14346999,524682,1_3,deep_view,1487174407
15629511,482786,1_11,view,1487174407
15905528,534121,1_3,view,1487174407
16612844,529106,1_11,view,1487174407
16744687,535410,1_6,view,1487174407
2882887,526077,1_1,view,1487174407
13131175,519886,1_17,view,1487174408
13857964,535090,1_4,deep_view,1487174408
14746021,527430,1_1,deep_view,1487174408
15113251,491156,1_27,view,1487174408
7638340,525403,1_3,view,1487174408
10348517,535974,1_6,view,1487174409
12220024,474425,1_3,view,1487174409
13547254,527973,1_1,deep_view,1487174409
13576473,497681,1_13,view,1487174409
16361853,535350,1_1,view,1487174409
2011129,527026,1_6,deep_view,1487174409
6985683,460475,1_3,view,1487174409
8360012,437963,1_11,view,1487174409
13239969,514225,1_17,deep_view,1487174410
14511637,492868,1_27,deep_view,1487174410
16131594,521081,1_11,view,1487174410
16401821,535412,1_13,view,1487174410
11533849,529607,1_11,deep_view,1487174411
12274744,500766,1_1,view,1487174411
12738420,502072,1_6,deep_view,1487174411
14882038,500789,1_1,deep_view,1487174411
15104802,535329,1_6,deep_view,1487174411
3828137,520522,1_27,deep_view,1487174411
5425834,535350,1_1,deep_view,1487174411
12431632,527476,1_1,deep_view,1487174412
12773775,489718,1_3,deep_view,1487174412
13284163,492995,1_27,view,1487174412
4733973,535134,1_6,view,1487174412
6088961,535056,1_6,view,1487174412
10923030,535604,1_1,view,1487174413
16239528,520522,1_27,view,1487174413
440276,527193,1_2,deep_view,1487174413
5902475,524378,1_6,deep_view,1487174413
9307169,534414,1_5,deep_view,1487174413
11352404,527472,1_6,view,1487174414
13086644,532835,1_2,deep_view,1487174414
13623471,505520,1_17,view,1487174414
1454275,533054,1_6,deep_view,1487174414
15174521,425413,1_11,view,1487174414
154007,506921,1_6,view,1487174414
15401530,535824,1_6,deep_view,1487174414
15828825,529092,1_6,deep_view,1487174414
15889693,483406,1_9,view,1487174414
16003871,526583,1_3,view,1487174414
16152640,526077,1_1,deep_view,1487174414
2805622,535237,1_6,deep_view,1487174414
3911406,531142,1_3,deep_view,1487174414
660583,522542,1_27,view,1487174414
915056,502276,3_23,comment,1487174414
13277428,218567,1_11,deep_view,1487174415
13928217,533862,1_1,deep_view,1487174415
16382703,504097,1_17,deep_view,1487174415
16652034,501849,1_23,deep_view,1487174415
3904697,524416,1_6,deep_view,1487174415
7287705,526618,1_11,view,1487174415
7287705,526618,1_11,view,1487174415
